title,uri
"Blog Tool, Publishing Platform, and CMS - WordPress",http://www.af.wordpress.org
afgha.com,http://www.afgha.com
Daily Afghanistan,http://www.dailyafghanistan.com
Afghanistan.ru (Russian),http://www.afghanistan.ru
Ava Press (Farsi),http://www.avapress.com
e-ariana.com,http://www.e-ariana.com
Afghanistan Analysts Network,http://www.afghanistan-analysts.org
shahamat-english.com,http://www.shahamat-english.com
afghanistannews.net,http://www.afghanistannews.net
"Blog Tool, Publishing Platform, and CMS - WordPress",http://www.fa-af.wordpress.org
The Kabul Times,http://www.thekabultimes.gov.af
1 Sada (English),http://www.1sada.com
Ariana News (English),http://www.ariananews.af
Afghanistan News,http://www.en.afghanews.ir
Afghanistan.Ru (English),http://www.en.afghanistan.ru
English - Middle East Press News Agency,http://www.middleeastpress.com
Afghanistan Today: Features from Kabul and the provinces,http://www.afghanistan-today.org
Afghan Zariza (English),http://www.afghanzariza.com
Ansar Press (English),http://www.ansarpress.com
Dawat Media,http://www.dawatmedia.com
Government Media & Information Center (English),http://www.gmic.gov.af
Afghanistan News | Breaking News,http://www.myafghan.com
National Radio Television of Afghanistan (English),http://www.rta.org.af
darivoa.com,http://www.darivoa.com
Salam Watandar,http://www.salamwatandar.com
pashtovoa.com,http://www.pashtovoa.com
1 TV (Dargwa),http://www.1tvnews.af
Azadi Radio (Dargwa),http://www.da.azadiradio.com
Azadi Radio (Pushto),http://www.pa.azadiradio.com
Negaah TV (English),http://www.negaah.tv
Rah E Farda,http://www.farda.af
Shamshad,http://www.shamshadtv.tv
Tamadon,http://www.tamadon.af
Tolo TV,http://www.tolo.tv
Ariaye,http://www.ariaye.com
Farsi (Dargwa),http://www.farsi.ru
Farsi (Pushto),http://www.pa.farsi.ru
Graan Afghanistan,http://www.graanafghanistan.com
Haqiqat,http://www.haqiqat.se
Mehwar,http://www.mehwar.news
Payam e Aftab,http://www.payam-aftab.com
Rohi,http://www.rohi.af
Sayah Online,http://www.sayahonline.com
Voice of Jihad (Arabic),http://www.shahamat-arabic.com
Voice of Jihad (Dargwa),http://www.shahamat-farsi.com
Afghan IRCA,http://www.afghanirca.com
Bokhdi News Agency (Dargwa),http://www.bokhdinews.af
Jomhor News (Dargwa),http://www.jomhornews.com
Kokcha International,http://www.kokchapress.com
Roushd Agency,http://www.roushd.com
Yadgar Afghan,http://www.yadgarafghan.com
Herat Online,http://www.heratonline.com
Herat Paper,http://www.heratpaper.com
Kohandazh,http://www.kohandazh.com
Afghanistan Express,http://www.theafghanistanexpress.com
Ansar Daily,http://www.ansardaily.com
Arman e Mili,http://www.armanemili.com
Cheragh Daily (English),http://www.english.cheraghdaily.org
Open Society,http://www.dailyopensociety.com
Weesa,http://www.dailyweesa.com
Hewad (Dargwa),http://www.hewadnews.com
Kandahar Radio Television,http://www.kandahartv-gov.com
Sharq,http://www.shaiqnetwork.com
ریاست اجراییه جمهوری اسلامی افغانستان,http://www.ceo.gov.af
سلام وطندار - خانه,http://www.swn.af
الاماره,http://www.shahamat1.com
afghanistannewscenter.com,http://www.afghanistannewscenter.com
Taand (Pushto),http://www.taand.com
Afghan Islamic Press (AIP),http://www.afghanislamicpress.com
Afghan Paper,http://www.afghanpaper.com
ariananet.com,http://www.ariananet.com
kabulpress.org,http://www.kabulpress.org
Tol Afghan,http://www.tolafghan.com
Eqtedar Melli,http://www.eqmweekly.com.af
Afgha News (Dargwa),http://www.afghanews.ir
Afghan Online Press,http://www.aopnews.com
afghanistansun.com,http://www.afghanistansun.com
Fars News Agency - Afghanistan,http://www.af.farsnews.com
Pajhwok Afghan News (English),http://www.pajhwok.com
Benawa,http://www.benawa.com
Larawbar,http://www.larawbar.net
Institute for War and Peace Reporting - Afghanistan,http://www.iwpr.net
BakhtarNewsAgency-ps,http://www.bakhtarnews.com.af
Afghanistan Times,http://www.afghanistantimes.af
The Daily Outlook Afghanistan,http://www.outlookafghanistan.net
TOLOnews website,http://www.tolonews.com
